560
Generated initial structure
Ca 26.074650 11.897647 1.303454
Ca 26.350695 3.556027 9.940782
Ca 27.601735 27.617000 17.056261
Ca 10.202607 19.830517 22.066487
Ca 23.164213 23.109308 3.553771
Ca 14.843769 2.611645 16.386809
Ca 13.362854 25.855717 10.825620
Ca 4.277876 5.003767 22.322298
Ca 18.310106 3.831435 3.354991
Ca 20.627136 3.037364 24.012082
Ca 20.774782 3.277766 3.375456
Ca 23.758388 27.522960 28.608030
Ca 22.094589 11.535268 3.338020
Ca 22.760114 16.635319 12.878216
Ca 26.377923 4.113530 14.793503
Ca 1.317902 14.122498 2.576492
Ca 4.326902 4.290735 19.177888
Ca 21.889257 17.334325 27.940831
Ca 7.260683 27.970231 1.340325
Ca 28.156607 2.208478 25.952007
Ca 15.775631 28.803014 3.066304
Ca 16.507920 28.140471 15.646740
Ca 18.623162 20.480963 13.727150
Ca 18.571626 17.360801 26.232424
Ca 2.272499 8.866969 27.611522
Ca 25.927386 13.758389 18.363713
Ca 8.766673 6.267392 13.983555
Ca 10.893862 17.342371 3.176570
Ca 28.283055 28.613901 20.548528
Ca 20.172473 5.553274 26.505961
Ca 24.031043 27.594398 21.320146
Ca 18.175625 12.710805 27.116398
Ca 25.249789 2.266123 1.738275
Ca 11.540974 23.695493 28.643732
Ca 5.211673 17.635660 11.664944
Ca 28.157603 24.579330 24.473204
Ca 14.123408 12.614946 8.655398
Ca 2.578514 25.212227 23.761228
Ca 28.992095 28.905831 16.552088
Ca 27.713429 17.972890 7.401999
Ca 19.807619 18.307591 11.028556
Ca 4.179613 19.804049 15.568616
Ca 22.624915 15.564578 24.861082
Ca 16.453391 16.706263 25.546301
Ca 12.297520 4.752426 1.805915
Ca 6.962997 4.818401 1.407251
Ca 10.816452 17.517695 11.982833
Ca 15.391706 22.942284 12.103198
Ca 18.418428 25.146184 27.586577
Ca 5.118057 26.944454 14.779256
Ca 8.230843 13.855801 28.440912
Ca 14.793307 10.205045 18.735224
Ca 7.724077 3.124173 4.608632
Ca 4.585283 5.253275 4.887161
Ca 18.944493 6.092642 10.678684
Ca 5.824956 6.384093 2.144321
Ca 5.730182 8.800529 5.956294
Ca 3.483671 4.377804 13.901806
Ca 6.777344 11.199556 15.095684
Ca 18.581211 3.289253 25.460201
Ca 23.573636 21.951271 6.166589
Ca 18.311134 11.329582 13.950972
Ca 21.929186 2.027130 8.068234
P 20.973788 26.065791 15.326968
P 15.899178 4.000816 13.527546
P 15.913283 7.789174 8.538810
P 11.563957 1.561994 10.018217
P 6.920544 10.169926 4.353340
P 25.934764 17.620589 20.014865
P 23.096795 14.956382 3.433768
P 16.038983 17.431551 21.872305
P 13.086467 4.572248 8.945725
P 11.166304 19.085683 16.981793
P 10.970708 28.622427 17.961695
P 7.886816 5.499078 6.223877
P 8.982665 5.854461 26.109432
P 3.246545 15.686319 12.491111
P 28.506601 4.137089 12.139957
P 8.221279 5.784852 19.722010
O 27.022528 16.589361 17.005155
O 8.839415 22.545802 6.237225
O 10.063019 12.912220 15.213091
O 7.787473 4.215431 18.097361
O 9.081655 17.274670 5.322156
O 14.471923 15.912504 2.451059
O 10.424920 4.763611 2.774499
O 28.718887 10.025908 23.676484
O 8.129938 20.082076 22.286380
O 17.677885 14.204133 12.531546
O 10.768311 27.026816 24.257343
O 28.020753 4.480322 21.464289
O 27.273533 6.074526 2.861895
O 4.913627 23.267485 6.645565
O 5.582366 5.599442 23.808092
O 19.625522 15.645832 11.047254
O 25.561615 11.988463 23.864784
O 13.295777 11.554444 13.955034
O 9.438580 21.933063 15.076171
O 7.501955 26.188088 11.748954
O 16.219480 26.381219 18.478664
O 4.273145 27.315299 18.575825
O 10.377357 4.899618 23.232705
O 23.080722 5.246897 9.728218
O 7.957696 21.830496 1.938908
O 16.956911 22.348843 25.549438
O 10.578289 23.995205 4.097689
O 24.700664 4.569683 12.124044
O 23.324270 5.197688 7.419039
O 21.223072 21.161023 18.952134
O 20.430556 16.196284 8.050374
O 27.523934 5.293839 17.414435
O 25.419469 27.099312 16.823729
O 20.506223 26.829983 20.802682
O 5.271093 17.136074 17.988021
O 12.875659 21.620439 27.162276
O 26.915918 13.623502 4.170665
O 28.575554 24.489146 4.490555
O 26.783573 25.357098 15.527466
O 17.555712 12.172076 2.533326
O 26.755957 10.697688 10.714690
O 21.650035 13.662102 7.288935
O 13.668306 4.943997 5.938836
O 14.954298 12.729913 26.615685
O 11.147029 17.256474 18.703400
O 3.389791 28.912479 15.061460
O 17.670780 2.878141 21.998893
O 6.877357 26.145520 6.743910
O 6.339256 2.023391 14.217874
O 13.692087 15.682928 13.341357
O 12.221366 16.669929 5.346727
O 6.093988 25.129997 27.491233
O 11.452661 8.580851 19.031987
O 12.444557 1.710818 5.372273
O 21.047222 19.449870 1.758688
O 7.215221 7.470094 19.812997
O 1.551895 3.915040 23.397650
O 5.999251 19.276891 7.669118
O 3.784359 7.808821 21.223474
O 24.959501 24.246156 12.121139
O 26.097403 1.364054 3.394239
O 6.820815 1.742902 6.080192
O 23.888420 10.570886 8.263856
O 11.631387 17.528258 8.505782
O 18.476169 12.463526 16.457321
O 13.211543 9.245041 27.556693
O 14.648074 26.047462 23.395947
O 12.905978 1.629141 8.522966
O 16.165758 18.737390 8.220855
O 15.719325 5.807020 8.624605
O 1.514939 26.600367 4.297030
O 17.142461 8.673546 16.516984
O 19.239771 24.232771 6.779796
O 1.307883 4.832798 26.200522
O 25.468922 17.727567 17.814472
O 2.315047 5.655934 21.664941
O 3.318363 17.888259 7.869775
O 11.900277 9.083425 10.958836
O 21.133285 9.319408 16.859330
O 14.329411 19.582793 27.231233
O 21.512019 7.018331 1.873128
O 14.898255 17.711600 10.358829
O 22.585542 3.984751 3.103858
O 21.389285 14.873757 20.275267
O 23.383645 20.451501 8.620064
O 26.684780 4.830922 27.606646
O 13.488162 6.183722 16.173227
O 25.442483 21.502297 23.583712
O 19.445934 20.383744 24.777478
O 7.990704 14.703899 7.193864
O 28.654704 27.433662 2.103951
O 20.756105 26.906953 6.056110
O 20.527767 9.325772 26.883093
O 28.189631 27.439462 14.277998
O 25.137194 24.647383 9.934813
O 24.209633 2.036214 17.695557
O 7.440247 4.375873 3.154690
O 20.496086 10.516499 21.293470
O 2.829978 9.828129 16.105756
O 23.140249 9.925070 18.524959
O 25.807377 18.244169 7.522865
O 1.683222 25.362768 1.595544
O 25.491647 15.810240 27.293896
O 23.365931 28.942155 10.819931
O 22.481272 12.254066 14.436517
O 21.652304 7.685760 4.093275
O 10.929420 9.042692 9.296627
O 7.541017 2.178609 1.500470
O 20.030124 7.111109 27.598913
O 23.017660 3.503508 12.692262
O 25.615313 27.452497 14.087242
O 18.175519 5.676950 28.752722
O 7.486808 27.396490 19.190106
O 18.016630 15.355278 7.458755
O 28.134874 25.746005 26.977064
O 22.230677 20.488577 5.309085
O 16.035284 17.602318 17.242414
O 3.561631 25.568904 8.436801
O 11.435278 8.273106 21.255763
O 14.884521 3.269294 7.165130
O 14.864103 14.456424 17.587418
O 24.091067 10.738658 19.984452
O 16.840495 8.476792 25.601640
O 23.327929 19.436651 24.816288
O 25.411619 1.818924 24.122869
O 4.608356 10.383328 21.818231
O 5.501277 23.903077 24.299757
O 18.273954 28.473213 18.690779
O 8.274500 18.752160 16.119591
O 22.835671 3.995458 22.308781
O 27.242398 20.260800 2.899438
O 9.426980 20.828818 2.885817
O 17.300773 10.684726 18.385634
O 2.280777 25.403031 28.257691
O 28.128580 21.990251 4.642415
O 22.231369 1.688434 1.619459
O 10.061086 14.682009 22.571408
O 20.132271 13.485276 8.661547
O 28.919486 12.933076 13.638837
O 5.581467 23.254667 20.423102
O 7.181549 3.306669 20.053980
O 5.229621 13.105374 27.421246
O 12.752365 18.878727 12.132643
O 26.034778 7.438729 6.966932
O 1.871754 19.246671 11.318738
O 6.194714 25.321449 22.744712
O 22.585812 24.653930 22.308672
O 8.531815 23.331655 9.690135
O 13.746164 1.325375 3.028513
O 11.989820 14.438287 17.800575
O 9.166552 20.459493 25.083427
O 22.835828 2.109327 14.454195
O 3.938045 7.777260 28.626553
O 4.989875 14.968868 18.308361
O 20.669019 16.670163 1.273584
O 10.140917 15.495926 3.460262
O 10.817554 1.929687 3.200198
O 26.054866 16.332587 23.884338
O 13.664912 19.020175 15.739275
O 7.396733 28.897350 28.294209
O 3.021555 1.858270 8.215121
O 13.953443 25.311630 21.360734
O 21.795783 12.913813 10.686180
O 11.389085 28.654188 2.123057
O 25.276882 17.202911 13.281232
O 26.219652 12.808186 8.751178
O 17.585809 26.546174 6.898541
O 18.443064 18.683686 21.527165
O 4.683895 21.043099 26.452911
O 6.031127 7.651213 28.199063
O 7.922470 25.380997 13.468547
O 8.227736 19.388627 10.105322
O 22.657248 4.664463 28.154989
O 13.706107 7.609413 3.057909
O 5.753221 15.553671 10.436089
O 24.208734 13.064851 7.964000
O 18.280060 20.789762 5.677173
O 5.693338 2.026800 21.619256
O 19.586527 14.289665 24.636773
O 23.558764 17.389922 25.311596
O 6.763554 4.133749 8.552989
O 2.598432 15.872747 27.224959
O 27.148500 9.852371 15.202575
O 2.164040 5.153610 28.625643
O 28.023324 1.138319 27.650730
O 15.436689 14.687704 19.672199
O 20.731061 6.651897 19.856108
O 28.157537 3.629220 19.832859
O 13.425006 25.307983 5.960194
O 20.393527 24.467228 27.449198
O 20.130945 14.920893 18.299723
O 25.329340 16.977073 1.850838
O 27.066563 20.306749 19.942375
O 7.038904 19.448793 12.028203
O 19.234523 3.984605 19.419669
O 12.393423 25.381097 22.906794
O 12.315929 10.156929 19.692615
O 23.619686 22.343984 23.338782
O 13.196333 23.899358 4.365854
O 16.245695 1.161242 10.088403
O 11.260923 12.092835 20.473082
O 11.879627 13.563421 7.651236
O 11.451050 7.363550 3.049486
O 17.896561 19.709958 18.345730
O 13.977833 11.634002 25.173342
O 10.554939 11.645477 12.167038
O 17.244826 15.940871 18.021343
O 27.754663 1.510512 6.481784
O 1.211760 19.129292 26.144855
O 27.164209 10.845435 3.839783
O 9.604119 23.484725 16.096516
O 9.716616 18.089346 21.052219
O 15.704575 20.853295 3.992554
O 16.884742 8.183758 27.961953
O 14.539278 23.567791 16.406343
O 2.215551 18.728239 27.639294
O 17.845131 23.937288 25.757781
O 12.508797 24.516116 26.200647
O 10.895799 7.632376 22.854714
O 21.632465 25.158318 7.068714
O 20.388212 28.755168 4.595040
O 3.915070 21.281487 17.194834
O 26.037344 6.372285 10.054404
O 15.533674 2.893152 23.409982
O 7.543938 16.120334 25.642214
O 10.324054 19.745635 28.835902
O 19.531497 16.617936 21.458214
O 27.813508 5.908482 20.320137
O 6.626143 16.003175 3.706941
O 13.610386 22.172573 10.732003
O 7.569978 12.180846 5.267648
O 24.576932 15.586823 18.460399
O 3.495484 22.147572 4.575978
O 24.129894 22.896786 20.844852
O 2.012491 9.487594 8.367152
O 11.083819 3.453997 27.234819
O 16.506463 9.554681 12.115482
O 26.742975 14.914978 28.780424
O 24.839899 6.838294 27.056666
O 4.258259 23.888592 11.657452
O 25.583281 25.305587 23.565911
O 12.283445 5.858686 20.458630
O 24.029456 4.710691 25.136406
O 22.414674 5.895482 15.071850
O 12.162565 5.098472 11.290964
O 2.908825 1.722733 4.784656
O 27.967223 16.386827 28.043021
O 13.109941 9.730852 15.171972
O 13.306327 3.958611 18.943137
O 7.049069 18.348463 19.205631
O 13.874412 2.628586 28.856257
O 2.617856 20.460986 28.543010
O 23.791168 18.226144 9.575101
O 6.449430 11.297262 12.595633
O 1.308875 12.652312 14.477636
O 1.537384 8.274770 22.288115
O 4.839072 15.988684 7.025652
O 23.443039 27.868146 14.659913
O 14.328508 11.524872 12.045336
O 13.864510 22.980463 25.978371
O 27.749371 23.033295 9.831393
O 24.544404 2.075938 26.249336
O 13.921369 18.841641 19.461910
O 2.866257 15.515425 5.204732
O 2.166841 3.374176 21.057055
O 19.518377 6.185476 5.875061
O 8.421300 1.586459 3.300807
O 4.398820 18.220363 22.689746
O 28.439169 17.852685 17.307834
O 21.946049 23.729554 19.381401
O 26.729943 8.062749 22.141174
O 16.260754 28.570753 27.246866
O 2.208865 5.614815 4.688406
O 5.482006 13.923609 1.261285
O 7.907008 21.340928 28.770679
O 3.776987 12.241841 23.401987
O 6.712998 16.542379 21.525996
O 22.946170 16.518342 1.146429
O 22.307741 1.988718 21.880546
O 10.154085 5.168865 9.556918
O 25.546221 28.897361 11.312667
O 20.477308 1.090111 18.348501
O 16.698483 17.897655 19.941102
O 23.539692 8.554980 24.101383
O 14.951159 3.157632 2.639426
O 10.358673 22.977115 20.815066
O 5.128671 10.189397 13.152542
O 3.480812 7.177135 17.750308
O 21.598567 28.953730 27.127173
O 18.991826 12.794945 18.812966
O 24.514464 11.747323 17.012424
O 24.287517 8.645983 15.506205
O 9.364316 27.339019 8.260309
O 6.210840 23.474013 13.829233
O 21.382301 14.900912 13.231820
O 21.426230 22.434361 5.449429
O 18.086304 4.789914 22.038502
O 19.394744 27.785209 2.930824
O 1.941181 2.754290 26.380249
O 19.586111 27.975044 16.684709
O 27.231029 2.463221 12.726213
O 8.182842 19.316889 6.546734
O 16.829247 13.990110 28.216149
O 5.234911 7.308874 8.027067
O 4.213528 25.083911 21.238800
O 19.732625 13.944276 12.529435
O 15.350074 23.579301 13.858717
O 2.454784 23.015790 6.638186
O 8.241383 5.611778 10.246022
O 22.189042 15.542804 6.736676
O 25.579242 25.628292 25.376196
O 13.990079 26.458166 16.083650
O 24.018888 11.651760 22.717132
O 28.005346 6.705461 15.653230
O 18.768308 23.341596 12.087173
O 26.622522 15.924808 5.422735
O 25.001019 26.372011 8.753326
O 28.538601 4.939923 6.656439
O 6.158295 26.031712 19.320191
O 28.555089 19.701760 18.770796
O 5.646737 25.693977 12.969711
O 5.542535 1.353011 16.673159
O 25.028957 23.933778 16.142225
O 20.886798 9.801803 14.192701
O 24.005833 13.859426 11.018351
O 3.817849 7.716475 4.975216
O 24.560531 14.196041 28.414938
O 19.288558 27.272535 25.393726
O 12.831356 2.176691 21.717315
O 26.706143 8.841045 25.033567
O 9.182110 26.501565 22.110933
O 23.537390 1.504184 27.958690
O 21.346788 9.533031 24.223051
O 8.882594 25.437108 4.152251
O 20.703207 16.139557 3.702965
O 9.435427 17.754010 9.322659
O 26.281060 24.863388 19.698531
O 3.211137 7.706285 23.248192
O 1.970767 17.318591 28.872250
O 24.278458 17.771398 4.218124
O 24.220030 25.611409 17.009626
O 15.488498 13.051967 9.874504
O 13.168687 22.668630 17.853856
O 27.614869 17.818230 21.820630
O 2.278165 4.920675 8.750801
O 6.795792 15.464034 1.154162
O 1.214593 7.133927 2.028198
O 17.017362 15.354696 9.217687
O 18.277862 4.187475 10.666248
O 15.207534 25.478231 14.819304
O 8.692483 12.048130 12.811189
O 18.021346 9.662436 24.066131
